id,type,tag_hex
enron_000036,text,6332724dbf4c16e9fb3d9037b6b9a7a9806ff9ee2a85f4b60bf0d90f90b4e0a6
enron_000068,text,7d03e6adfffdedae67a4bd8e2a7ef7bf6dabffe13e28867efdb35f6587e773cd
enron_000075,text,e9b69009116fdfee28587eb499be00c2dafe0ba6ab056780f0f73c677a6b1a15
enron_000102,text,e09bb813a95768a9720954e4df3834dea073e8bacc6de1c7a58bfefdb854caf3
enron_000166,text,f0f411332d9f214adeccd80bd87cf99f2ab7bcafdd525516eaf5bd169f4dc6fd
enron_000263,text,1ff5f6d8a4f3ebc68d8e89ccbf448367767059ffdcdd8dab834065e92cb7f61f
enron_000283,text,0166bd1870df6f8765b0da7192174e5aa66c1d2016801ce3851de2d03faa3a92
enron_000406,text,7ca0b953ea48fbc27ce8b099eb15dffdebf67bd39bfeba3e47a3fa57b1cf7e35
enron_000570,text,3e3feb1ccb729d91fdf1e54be4388fdf6db3945dbbfdfbd1b1cebe72bbf0f484
enron_000671,text,d21245120c25e26f3c80e5c71d4f1f0ea3637a9681ad6eeced237bc81dbeedde
enron_000704,text,473a3e09ec25fe4cdc49581b0de9eb0b7d604dd8d04a9ffa44eee90e8b63d22d
enron_000721,text,fbfe9c1639c78f116e8808d73b4d278d71d096db3a2a70d85b6c909146993bb0
enron_000778,text,45a2f0e08d5c33dff2acb07a39fe16fcd827d8d7f2a7bd6882c67114b4dd8687
enron_000864,text,544cd027aa7a43d30f7935ba612c31a14e5d1c73e4ecf3811016d539a444b701
enron_000867,text,744dbb46e6b0419e4b5ed0d543212620455bc297e2a68e76663acd8b7d030c99
enron_000927,text,0ab49bfb6709cace6f7182546d5b022a18c7d43f80de9205356c14fa031fa5d3
enron_000963,text,7a2a5a3884817de8166405b7bcf4e66e89f5407b40f57e6129757d109636341b
enron_000976,text,c971b91da0cd64cc92d50e659cbad40689ac8eb89860fff78af1ff0fd4f366d0
enron_000979,text,d12cb848b7a2e5cdbb55f7761ca537af1b0d7b3e9464ddef99f4987fbd907634
enron_001066,text,4a9886222bf1452fa39ed099a44e48d7d57f83064a0b304374bed73085a2f27c
enron_001200,text,fc30dd6fa3a4a3bdda7875c1c45fc727225599baec1233943ef065e8efd38b32
enron_001228,text,b0a0d94430068366891a257e2fcd7a6f5c9c8fa76d257a34febe8de984012713
enron_001275,text,53c4f1a65a88a4c8b1cd5e4ded0016af6fcc99af7d9c2253f21ce1daeb16fa9c
enron_001276,text,30665ba8fe948c9b45e9db18cf8139daeef9f5aa49fc2a52b792fabc091e34cc
enron_001325,text,84983d4baf01b840d8efcfcc435d787f29cd59c43a8deceff3373ba2e40570df
enron_001331,text,e58bf2bc2be9d0baeb2ebd907808069efabf8f169929855afc2a5bdd9dee2aea
enron_001423,text,9184a81e61df1d6cae5d07eec376ef41a909f7079cd761d2b677f93b2dbe6ab5
enron_001431,text,2921e1154ff23486e399d23056d565603b9c996256bcb64b0303f7321a8ea521
enron_001443,text,4a113ea062e485979251ea35966bfb84f19f0621c4ffe3df96fa0693d8c43c7d
enron_001446,text,3b7e7ca1dbd480cc81b10c37f0c10f8ead59a9e4fe1724433ef4f5c41ff08fe5
enron_001495,text,af81c9b3aa1e8f9cee2f69b6f4dfff8021711abd69b0f96cf8d4f93643cadd73
enron_001504,text,06ad3d2f9f3d5db95e7a6bb6df5152b164d97d24519c8e35c2967bf8fdde97c0
enron_001513,text,b28de470eea9e6ef28341589cfc933155788ac6342f5ead78b302ecd88c9f9a5
enron_001603,text,c02d0d0e45976a7855461ec7dc43b6ab27835e7941c008b2a6906b4ac3bcbeeb
enron_001617,text,e13bb14f3b0f070437d05d5c8e4ac697e0b1d016c7b136b541085044a25c1212
enron_001731,text,2a2e920ff457a661eed9ae241b966b9316b2b2782573567cc9c6e1cbac64d25a
enron_001808,text,5caa90e8e2be5cbadd1563be73b3c4f46714b2923fc114c41ec1b56bff9abf72
enron_001864,text,7adabdaa1b3baf884c1a90f7efd73a889ef7034f8d107cf558f80a5771fd4435
enron_001963,text,e12b3128e8de72a4993dac2d4b8ba68e5c5c6d493704c3622f45bb39631f3bd7
enron_001993,text,b417861ecf2b79286bbc67a3be834f945a5f64e27adfdab91995bc1e482216e4
enron_002051,text,c4137a5a31f0504ecbe15b77ba39f58c78aa2a1f18c177bf9cde372c2a6df9fe
enron_002091,text,fb11d3899f6d76f91ea58c9ad410f72e66fc2071c96ccf475fb17e47b2fab27e
enron_002186,text,497cfd13b66fef3fdd8abed7dea6adcf5507f7fe700327e747f97a9eb8ef9bf3
enron_002207,text,fd5f3810d0e7bfcab6dce2b825eda433ee8b7377b11af8637cbbb17202dfb837
enron_002248,text,d2de8277a157a4004c6d81f8df8586b4a4f143bd7c4dfcdc81da490eb452de63
enron_002448,text,6916c7d734202be5b707f343b78121a8020a2db50de91acc59b63bcf79a73376
enron_002463,text,8f1ff8a789796cb65dc49027f8b06148744d9ba947e0f48aff27682257710483
enron_002474,text,9f0ac9942d5beced1b7e3c896ac93c253768caaa4e0637afacea733118fc106e
enron_002551,text,743201f9d70ed355c9482834a97201a016f09e1800426fc512b6f87f8a85d31b
enron_002553,text,7c19904f5b6c76f1f68fc648f2f1b16644ef9e434804cb017eb16fe7f2d9f27f
enron_002598,text,1c21912c435645bd89d84858fb4bdab5b4926a0e8d402e3dbd41a09e9e95d100
enron_002619,text,60c1894d55c23b8f80f636314ecbdee05a5160da9176bdf9245f9a3399e022be
enron_002631,text,cf706692ee7b85f0f1e244c644894694d4ee04246254cbc4b245221153bec0f2
enron_002660,text,ab67921e9d0139e4bf21b6c7f789e57e488f30e1f090bba3f7db3a6e82a61c2a
enron_002663,text,a88bf089950c0afef6ae884a007e9213ebd5fe84efd6dda5c585781f7a0bc63f
enron_002701,text,342de926fc84e081eafea5cadf3568722ffe12c6016763d43872901288e63ad4
enron_002793,text,558c39846973c66b04745bb80d87c73b475afea630433b8d5ae798800634a690
enron_002910,text,6d7ebc77c5f6799acf755ce02433941ac09ea8e0e769b54ca33680e63176bfda
enron_002915,text,479aeca7436d6ca17dbfb4111eaf183e67a74c3c08fed271cdbfb2e060c8a26e
enron_002938,text,3ecc5e7211a04fb6c706dbe2c90ebb396462f929c4519e9219c6a0f4c6534884
enron_002944,text,5319ccbdbff92087fd8c487edd56f3d99ba7003d5eb13e7f1f02f8ebf8018015
enron_003055,text,a93ebb391cfd76693960587d0aa1e78c5a4c0bbd418ce8ad39795a485862747d
enron_003099,text,689b741899919ae933e85367e4534bbed13d958bcd8fe45f3cbcb861b6695572
enron_003206,text,13ed7f33a2d8e663c0eb47e8dfc2ffd15ce76e13de47719f46e8de4c766cc31c
enron_003214,text,365220da8ac7f96316681957070d5bea24fbd9fcaf3d5645990169d746653df8
enron_003224,text,af0e21b5c5f0d21fca7dc9c301dc17902825fbba66c6f58a6bf02c5340a713bc
enron_003314,text,a13649bfc0b5a08ecb4da34b5ec8c894cf6bebcb8bef52ca82effe14cabb626a
enron_003334,text,09f3b9113df8f102ade56b64626051bbd98a313e401d8053e31cc9e162fde4fb
enron_003336,text,5e89277dbf85d97de0fd75400c9d41ecbaad24bdab44f9107076ddd2a403e636
enron_003385,text,56117a307cb15b67a79df3aa341579ec3378a00bfb18a93f29ca6181234c307b
enron_003490,text,e97dcc461a7a5734b4995f049be165b49ca3f25d132c767fcc4d7d14f4bb9f98
enron_003616,text,de0522bb3dd1e22f823ee91d56721652d7ea48600db0e521357ffc01cb550787
enron_003722,text,717793fa44cb49044eaddf39d619a497de75bb7b7638088f64e8b21b1571c082
enron_003793,text,2dd6f6490700bf78e2f5168fa00ce82650f2bdc0b3e0b8df14bd2d41b2d7508e
enron_003853,text,2d11ef62dc1383ffef672f76e109aed6767be6cc1553de906c1af12b0be5c0bf
enron_003931,text,9e595269e54e13992675402ce85ce2528238c69e69c66a52c8e9f8c0b8ccf60f
enron_003936,text,0aced2716e2e3d4df14b34197a38cd0d435930f0a4ae1726ea562cba76247d53
enron_003979,text,315f41129f2eec4ef8e8d9517d6ca6f4c25d98e296a1acebb71dcbd0c1105098
enron_004033,text,9b126c0094a544de325180f697b154a6eabc307499c5ed0d85111ea370e1729c
