strategy,query_id,type,repeat,latency_us,candidate_count,filter_queries,inverted_lookups,posting_records_read,full_tag_distance_computations
prefuzz,enron_000036,text,0,4,0,6,0,0,0
prefuzz,enron_000068,text,0,23,0,6,1,0,0
prefuzz,enron_000075,text,0,2,0,6,0,0,0
prefuzz,enron_000102,text,0,2,0,6,0,0,0
prefuzz,enron_000166,text,0,2,0,6,0,0,0
prefuzz,enron_000263,text,0,2,0,6,0,0,0
prefuzz,enron_000283,text,0,70,1,6,6,6,1
prefuzz,enron_000406,text,0,52,1,6,6,6,1
prefuzz,enron_000570,text,0,2,0,6,0,0,0
prefuzz,enron_000671,text,0,2,0,6,0,0,0
prefuzz,enron_000704,text,0,2,0,6,0,0,0
prefuzz,enron_000721,text,0,2,0,6,0,0,0
prefuzz,enron_000778,text,0,2,0,6,0,0,0
prefuzz,enron_000864,text,0,2,0,6,0,0,0
prefuzz,enron_000867,text,0,2,0,6,0,0,0
prefuzz,enron_000927,text,0,2,0,6,0,0,0
prefuzz,enron_000963,text,0,53,1,6,6,6,1
prefuzz,enron_000976,text,0,2,0,6,0,0,0
prefuzz,enron_000979,text,0,2,0,6,0,0,0
prefuzz,enron_001066,text,0,47,1,6,6,6,1
prefuzz,enron_001200,text,0,68,3,6,6,18,3
prefuzz,enron_001228,text,0,2,0,6,0,0,0
prefuzz,enron_001275,text,0,2,0,6,0,0,0
prefuzz,enron_001276,text,0,2,0,6,0,0,0
prefuzz,enron_001325,text,0,89,7,6,6,42,7
prefuzz,enron_001331,text,0,2,0,6,0,0,0
prefuzz,enron_001423,text,0,1,0,6,0,0,0
prefuzz,enron_001431,text,0,2,0,6,0,0,0
prefuzz,enron_001443,text,0,2,0,6,0,0,0
prefuzz,enron_001446,text,0,1,0,6,0,0,0
prefuzz,enron_001495,text,0,2,0,6,0,0,0
prefuzz,enron_001504,text,0,2,0,6,0,0,0
prefuzz,enron_001513,text,0,1,0,6,0,0,0
prefuzz,enron_001603,text,0,2,0,6,0,0,0
prefuzz,enron_001617,text,0,1,0,6,0,0,0
prefuzz,enron_001731,text,0,1,0,6,0,0,0
prefuzz,enron_001808,text,0,61,2,6,6,13,3
prefuzz,enron_001864,text,0,2,0,6,0,0,0
prefuzz,enron_001963,text,0,49,1,6,6,6,1
prefuzz,enron_001993,text,0,62,2,6,6,12,2
prefuzz,enron_002051,text,0,47,1,6,6,6,1
prefuzz,enron_002091,text,0,43,1,6,6,6,1
prefuzz,enron_002186,text,0,2,0,6,0,0,0
prefuzz,enron_002207,text,0,1,0,6,0,0,0
prefuzz,enron_002248,text,0,2,0,6,0,0,0
prefuzz,enron_002448,text,0,1,0,6,0,0,0
prefuzz,enron_002463,text,0,2,0,6,0,0,0
prefuzz,enron_002474,text,0,2,0,6,0,0,0
prefuzz,enron_002551,text,0,2,0,6,0,0,0
prefuzz,enron_002553,text,0,2,0,6,0,0,0
prefuzz,enron_002598,text,0,2,0,6,0,0,0
prefuzz,enron_002619,text,0,2,0,6,0,0,0
prefuzz,enron_002631,text,0,2,0,6,0,0,0
prefuzz,enron_002660,text,0,2,0,6,0,0,0
prefuzz,enron_002663,text,0,1,0,6,0,0,0
prefuzz,enron_002701,text,0,49,1,6,6,6,1
prefuzz,enron_002793,text,0,2,0,6,0,0,0
prefuzz,enron_002910,text,0,49,1,6,6,6,1
prefuzz,enron_002915,text,0,1,0,6,0,0,0
prefuzz,enron_002938,text,0,2,0,6,0,0,0
prefuzz,enron_002944,text,0,2,0,6,0,0,0
prefuzz,enron_003055,text,0,3,0,6,0,0,0
prefuzz,enron_003099,text,0,1,0,6,0,0,0
prefuzz,enron_003206,text,0,47,1,6,6,6,1
prefuzz,enron_003214,text,0,56,2,6,6,12,2
prefuzz,enron_003224,text,0,64,3,6,6,18,3
prefuzz,enron_003314,text,0,2,0,6,0,0,0
prefuzz,enron_003334,text,0,2,0,6,0,0,0
prefuzz,enron_003336,text,0,120,11,6,6,66,11
prefuzz,enron_003385,text,0,2,0,6,0,0,0
prefuzz,enron_003490,text,0,2,0,6,0,0,0
prefuzz,enron_003616,text,0,75,5,6,6,30,5
prefuzz,enron_003722,text,0,81,6,6,6,36,6
prefuzz,enron_003793,text,0,2,0,6,0,0,0
prefuzz,enron_003853,text,0,2,0,6,0,0,0
prefuzz,enron_003931,text,0,1,0,6,0,0,0
prefuzz,enron_003936,text,0,2,0,6,0,0,0
prefuzz,enron_003979,text,0,2,0,6,0,0,0
prefuzz,enron_004033,text,0,45,1,6,6,6,1
prefuzz,enron_004082,text,0,2,0,6,0,0,0
prefuzz,enron_004266,text,0,1,0,6,0,0,0
prefuzz,enron_004285,text,0,1,0,6,0,0,0
prefuzz,enron_004319,text,0,2,0,6,0,0,0
prefuzz,enron_004399,text,0,1,0,6,0,0,0
prefuzz,enron_004409,text,0,46,1,6,6,6,1
prefuzz,enron_004416,text,0,2,0,6,0,0,0
prefuzz,enron_004501,text,0,2,0,6,0,0,0
prefuzz,enron_004503,text,0,1,0,6,0,0,0
prefuzz,enron_004558,text,0,47,1,6,6,6,1
prefuzz,enron_004626,text,0,2,0,6,0,0,0
prefuzz,enron_004629,text,0,1,0,6,0,0,0
prefuzz,enron_004768,text,0,1,0,6,0,0,0
prefuzz,enron_004820,text,0,1,0,6,0,0,0
prefuzz,enron_004915,text,0,1,0,6,0,0,0
prefuzz,enron_005066,text,0,2,0,6,0,0,0
prefuzz,enron_005104,text,0,2,0,6,0,0,0
prefuzz,enron_005207,text,0,1,0,6,0,0,0
prefuzz,enron_005284,text,0,1,0,6,0,0,0
prefuzz,enron_005318,text,0,2,0,6,0,0,0
prefuzz,enron_005350,text,0,2,0,6,0,0,0
prefuzz,enron_005393,text,0,1,0,6,0,0,0
prefuzz,enron_005395,text,0,2,0,6,0,0,0
prefuzz,enron_005402,text,0,1,0,6,0,0,0
prefuzz,enron_005420,text,0,2,0,6,0,0,0
prefuzz,enron_005452,text,0,2,0,6,0,0,0
prefuzz,enron_005457,text,0,1,0,6,0,0,0
prefuzz,enron_005530,text,0,1,0,6,0,0,0
prefuzz,enron_005539,text,0,1,0,6,0,0,0
prefuzz,enron_005563,text,0,2,0,6,0,0,0
prefuzz,enron_005587,text,0,45,1,6,6,6,1
prefuzz,enron_005632,text,0,1,0,6,0,0,0
prefuzz,enron_005636,text,0,2,0,6,0,0,0
prefuzz,enron_005743,text,0,2,0,6,0,0,0
prefuzz,enron_005787,text,0,2,0,6,0,0,0
prefuzz,enron_005880,text,0,7,0,6,0,0,0
prefuzz,enron_005922,text,0,1,0,6,0,0,0
prefuzz,enron_005965,text,0,2,0,6,0,0,0
prefuzz,enron_006008,text,0,46,1,6,6,6,1
prefuzz,enron_006107,text,0,48,1,6,6,6,1
prefuzz,enron_006321,text,0,2,0,6,0,0,0
prefuzz,enron_006348,text,0,2,0,6,0,0,0
prefuzz,enron_006350,text,0,2,0,6,0,0,0
prefuzz,enron_006351,text,0,48,1,6,6,6,1
prefuzz,enron_006389,text,0,46,1,6,6,6,1
prefuzz,enron_006400,text,0,2,0,6,0,0,0
prefuzz,enron_006470,text,0,44,1,6,6,6,1
prefuzz,enron_006498,text,0,2,0,6,0,0,0
prefuzz,enron_006520,text,0,2,0,6,0,0,0
prefuzz,enron_006540,text,0,1,0,6,0,0,0
prefuzz,enron_006545,text,0,2,0,6,0,0,0
prefuzz,enron_006581,text,0,2,0,6,0,0,0
prefuzz,enron_006667,text,0,1,0,6,0,0,0
prefuzz,enron_006745,text,0,2,0,6,0,0,0
prefuzz,enron_006816,text,0,56,2,6,6,12,2
prefuzz,enron_006851,text,0,2,0,6,0,0,0
prefuzz,enron_006911,text,0,2,0,6,0,0,0
prefuzz,enron_006918,text,0,2,0,6,0,0,0
prefuzz,enron_006937,text,0,2,0,6,0,0,0
prefuzz,enron_006938,text,0,2,0,6,0,0,0
prefuzz,enron_006982,text,0,42,1,6,6,6,1
prefuzz,enron_006994,text,0,2,0,6,0,0,0
prefuzz,enron_007044,text,0,1,0,6,0,0,0
prefuzz,enron_007172,text,0,47,1,6,6,6,1
prefuzz,enron_007173,text,0,2,0,6,0,0,0
prefuzz,enron_007254,text,0,18,0,6,0,0,0
prefuzz,enron_007298,text,0,2,0,6,0,0,0
prefuzz,enron_007312,text,0,51,1,6,6,6,1
prefuzz,enron_007359,text,0,2,0,6,0,0,0
prefuzz,enron_007435,text,0,2,0,6,0,0,0
prefuzz,enron_007458,text,0,2,0,6,0,0,0
prefuzz,enron_007496,text,0,49,1,6,6,6,1
prefuzz,enron_007575,text,0,2,0,6,0,0,0
prefuzz,enron_007703,text,0,2,0,6,0,0,0
prefuzz,enron_007749,text,0,9,0,6,1,0,0
prefuzz,enron_007927,text,0,1,0,6,0,0,0
prefuzz,enron_007960,text,0,2,0,6,0,0,0
prefuzz,enron_008050,text,0,2,0,6,0,0,0
prefuzz,enron_008113,text,0,48,1,6,6,6,1
prefuzz,enron_008207,text,0,2,0,6,0,0,0
prefuzz,enron_008219,text,0,2,0,6,0,0,0
prefuzz,enron_008245,text,0,2,0,6,0,0,0
prefuzz,enron_008283,text,0,2,0,6,0,0,0
prefuzz,enron_008325,text,0,2,0,6,0,0,0
prefuzz,enron_008333,text,0,1,0,6,0,0,0
prefuzz,enron_008360,text,0,2,0,6,0,0,0
prefuzz,enron_008425,text,0,2,0,6,0,0,0
prefuzz,enron_008641,text,0,2,0,6,0,0,0
prefuzz,enron_008669,text,0,2,0,6,0,0,0
prefuzz,enron_008692,text,0,2,0,6,0,0,0
prefuzz,enron_008703,text,0,101,7,6,6,42,7
prefuzz,enron_008727,text,0,60,1,6,6,6,1
prefuzz,enron_008884,text,0,2,0,6,0,0,0
prefuzz,enron_008887,text,0,3,0,6,0,0,0
prefuzz,enron_008888,text,0,64,1,6,6,6,1
prefuzz,enron_008916,text,0,2,0,6,0,0,0
prefuzz,enron_009024,text,0,2,0,6,0,0,0
prefuzz,enron_009039,text,0,2,0,6,0,0,0
prefuzz,enron_009106,text,0,2,0,6,0,0,0
prefuzz,enron_009185,text,0,2,0,6,0,0,0
prefuzz,enron_009214,text,0,3,0,6,0,0,0
prefuzz,enron_009262,text,0,103,6,6,6,36,6
prefuzz,enron_009306,text,0,2,0,6,0,0,0
prefuzz,enron_009358,text,0,67,3,6,6,18,3
prefuzz,enron_009503,text,0,2,0,6,0,0,0
prefuzz,enron_009557,text,0,2,0,6,0,0,0
prefuzz,enron_009562,text,0,56,1,6,6,6,1
prefuzz,enron_009564,text,0,2,0,6,0,0,0
prefuzz,enron_009649,text,0,2,0,6,0,0,0
prefuzz,enron_009655,text,0,2,0,6,0,0,0
prefuzz,enron_009676,text,0,2,0,6,0,0,0
prefuzz,enron_009709,text,0,86,5,6,6,30,5
prefuzz,enron_009788,text,0,64,2,6,6,12,2
prefuzz,enron_009936,text,0,2,0,6,0,0,0
prefuzz,enron_009948,text,0,2,0,6,0,0,0
prefuzz,enron_009983,text,0,2,0,6,0,0,0
prefuzz,enron_010027,text,0,2,0,6,0,0,0
prefuzz,enron_010045,text,0,2,0,6,0,0,0
prefuzz,enron_010181,text,0,2,0,6,0,0,0
prefuzz,enron_010278,text,0,2,0,6,0,0,0
prefuzz,enron_010288,text,0,2,0,6,0,0,0
prefuzz,enron_010339,text,0,54,1,6,6,6,1
prefuzz,enron_010348,text,0,2,0,6,0,0,0
prefuzz,enron_010437,text,0,2,0,6,0,0,0
prefuzz,enron_010461,text,0,2,0,6,0,0,0
prefuzz,enron_010478,text,0,2,0,6,0,0,0
