strategy,query_id,type,repeat,latency_us,candidate_count,filter_queries,inverted_lookups,posting_records_read,full_tag_distance_computations
prefuzz,enron_001146,text,0,112,1,7,7,7,1
prefuzz,enron_001332,text,0,4,0,7,0,0,0
prefuzz,enron_001529,text,0,4,0,7,0,0,0
prefuzz,enron_001703,text,0,3,0,7,0,0,0
prefuzz,enron_001972,text,0,76,1,7,7,7,1
prefuzz,enron_002114,text,0,75,1,7,7,7,1
prefuzz,enron_002531,text,0,3,0,7,0,0,0
prefuzz,enron_002724,text,0,70,1,7,7,7,1
prefuzz,enron_002760,text,0,85,2,7,7,14,2
prefuzz,enron_002777,text,0,103,2,7,7,14,2
prefuzz,enron_003528,text,0,3,0,7,0,0,0
prefuzz,enron_004039,text,0,3,0,7,0,0,0
prefuzz,enron_004413,text,0,4,0,7,0,0,0
prefuzz,enron_005784,text,0,3,0,7,0,0,0
prefuzz,enron_007225,text,0,3,0,7,0,0,0
prefuzz,enron_007560,text,0,3,0,7,0,0,0
prefuzz,enron_007622,text,0,74,1,7,7,7,1
prefuzz,enron_007759,text,0,3,0,7,0,0,0
prefuzz,enron_008652,text,0,4,0,7,0,0,0
prefuzz,enron_008760,text,0,4,0,7,0,0,0
prefuzz,enron_008888,text,0,76,1,7,7,7,1
prefuzz,enron_009983,text,0,3,0,7,0,0,0
prefuzz,enron_011313,text,0,3,0,7,0,0,0
prefuzz,enron_011469,text,0,3,0,7,0,0,0
prefuzz,enron_012081,text,0,81,2,7,7,14,2
prefuzz,enron_012921,text,0,74,1,7,7,7,1
prefuzz,enron_013148,text,0,4,0,7,0,0,0
prefuzz,enron_013280,text,0,4,0,7,0,0,0
prefuzz,enron_014570,text,0,3,0,7,0,0,0
prefuzz,enron_014785,text,0,72,1,7,7,7,1
prefuzz,enron_015336,text,0,74,1,7,7,7,1
prefuzz,enron_015447,text,0,105,1,7,7,11,5
prefuzz,enron_015560,text,0,88,3,7,7,21,3
prefuzz,enron_015587,text,0,3,0,7,0,0,0
prefuzz,enron_015970,text,0,74,1,7,7,7,1
prefuzz,enron_016015,text,0,3,0,7,0,0,0
prefuzz,enron_017434,text,0,3,0,7,0,0,0
prefuzz,enron_017981,text,0,69,1,7,7,7,1
prefuzz,enron_018025,text,0,3,0,7,0,0,0
prefuzz,enron_018728,text,0,71,1,7,7,7,1
prefuzz,enron_018983,text,0,3,0,7,0,0,0
prefuzz,enron_019126,text,0,3,0,7,0,0,0
prefuzz,enron_019329,text,0,3,0,7,0,0,0
prefuzz,enron_019601,text,0,3,0,7,0,0,0
prefuzz,enron_019730,text,0,101,1,7,7,7,1
prefuzz,enron_019812,text,0,72,1,7,7,7,1
prefuzz,enron_020504,text,0,3,0,7,0,0,0
prefuzz,enron_021407,text,0,70,1,7,7,7,1
prefuzz,enron_021674,text,0,74,1,7,7,7,1
prefuzz,enron_021770,text,0,3,0,7,0,0,0
prefuzz,enron_023115,text,0,72,1,7,7,7,1
prefuzz,enron_023180,text,0,73,1,7,7,7,1
prefuzz,enron_024197,text,0,69,1,7,7,7,1
prefuzz,enron_024211,text,0,76,1,7,7,7,1
