id,type,tag_hex
enron_full_000202,text,92f45bb6c40b16eca07acaf757a3a2a84b7fb00e929b2a4aaede371ab255903c
enron_full_000664,text,2e3794bca70f8218e8f0a0f53dca1305f0e212a71108aa9b950546f5111d90b0
enron_full_001289,text,e4a8a54bdcac83ad1c7c6aabff0cef50b3aad0ab5b9e7f85659147afed5e7eef
enron_full_001379,text,ef476d2d7a73dfc446549de2df1a739b5a163c9e8c707d29a644c1eb1578c2a5
enron_full_001488,text,d626bce029a1ba6810733076cfe6207ddf1ddab5a7f836bfd1b4e51e39e48ed8
enron_full_001525,text,d47f3781250f2dbe0e320eab93556a909904d2002bc38ce4038d6b12dd62cbab
enron_full_002220,text,cb66ffba9f5cdaf3feedb27d3bdfca3de0b04bfdd775775ee6d7f3dfd8dfafd1
enron_full_004616,text,8ede2363c5db4464b7f398b310cf8ff8eb1890f2d4e0d799c1d4543ca4e4b842
enron_full_005913,text,bd0662a8102e82ed220654177d7357346b7a6dbf47858a0442b1870a486a431d
enron_full_006211,text,0c6740a31f204cebeed0f3cc91d5001ac0270e6d50d928245e9e9883b2adbb92
enron_full_006276,text,8ffaf9b38af1d2771e5e5ee87f62dbde2a5d3f7197fdf7dbf5acb29fb823dee5
enron_full_006379,text,2c6df18180ebf6599a23557cb520d0891d6741b3b057eedde7b413cca128b2c9
enron_full_006771,text,9f175c79bad7ad612f72567650428e919f122ca26cf67cc4d88e18628382b2f0
enron_full_007411,text,60cd02a703ff5bc279e5f88f6e7bf2fb1326ea96e8f7841da43081c26fd18de9
enron_full_008064,text,d0f6efacf6c2b9aca3e22b7a688f48c993fa2c08336b156624ae3969b92bba59
enron_full_008136,text,38ad0d6d39f87e9e6f824f3c37d0691aeda536ff7bb24bbe302cfeae416a0bcc
enron_full_008648,text,295cb9307c465275cfe75c7a853c4533e8b130b1df0cea24e29a60998d559278
enron_full_008924,text,86ea2cf0428b03466840d38d07de9dfdd85f73a402fe7788473c40c3bb1dcf95
enron_full_009142,text,e654c88b39a3de2b8a5a505c1636661aa64388b9739ac6c4b57f51aa031e57d0
enron_full_009200,text,4570ed9e725a1cdc0872a97d54b4b3ecf532019dfa8c2dc10c4128088e434ecf
enron_full_009568,text,382132354c99a36dfffd42d88d70f0fe4478a5a803c86ad1f0fb3119463a051f
enron_full_009735,text,ad4cc3386ece825ccd6c4d3a5de9ed54799c52f8e84854e8b50e6efc4442c079
enron_full_011924,text,d73d7fdcafa033ab74e471ab73564c3f3b1ad28adfb433321044f66d7aa40c34
