id,type,tag_hex
enron_full_009658,text,b6fffdf6bfb6f0af6b79e01d635dd19606a17e8d13227ed137fbf6315f5c6e80
enron_full_010653,text,de02981df6c37818dfb88667554075b7e45e1ff948bbe833fc42d2d5037a0f8f
enron_full_011218,text,ef648ae84f8d7d05c9fdf6936b0926e89a9fc41abed4fc3d8d5f477f8d90f5ae
enron_full_025369,text,c2b66b6217a72fbba5a1b7abddbeee25d9b4eb30af8bdb72f4d3d59c2f7ee397
enron_full_027509,text,54dc46335b0d35875743e15312b518bea0d27416f89078a572c481c18c376f10
enron_full_033704,text,72f855f9e5ee2f989d8c55718b19fd85873fbaf1295d1b4dd775686fdde065ea
enron_full_034404,text,45935cb747917da7bf86e97df53fddeec64af401fef7e93dd5daaa575a3d3b3b
enron_full_034807,text,7d83df88ecb1f9b9af78f0bfb1b02aaef719e673feb18b233bcbd9c671407f37
enron_full_039254,text,d29f4a819f3ffd723e9c0790d23bc0b82ea43fa9337bbb489d2eceb2f83b767f
enron_full_039322,text,a5dee2e1a702d5bcc9b09c4735d25a06cd5dc104c37bf44e23b1f35403ac6f43
enron_full_046393,text,a7a61911608b1d5baa882a1d311d7092d9e5d622dd7aa263920e771a3bf5359d
enron_full_049561,text,6faa5383f0c7a78441b02729ae005cc10ba782338f7afe164c62d3e5333ea2e3
enron_full_053673,text,eae7b2b5516e3abd9cc6f60b28d0f658c38bd57f821dbf114479959ae654e653
enron_full_058759,text,1df773e081557c1da54beac433fe95fe705f741e8169858bc9cfbe758d4354c2
enron_full_059101,text,a66accc79f614b45fb898a4d1d291b4b0b6a86d42f63d7b0125c040d85e07e93
enron_full_067415,text,836d9248f0ab6f5c7395c4349ac3996266fa64adc98eff3047d137af71f1779a
enron_full_068105,text,faa02c7af663e0d4f5551da1e5538abe4f0b27a55eed5ad986901580a5a0a1bf
enron_full_078293,text,70e1ec3a7d1b19ffbc1ff75f761045156e061ea9f16b73ac3e74a639747b842d
enron_full_080461,text,4ea0586f307a05bbe21344d3df39fc2df11b9a2e5cc6faedf9750a4f11a3ec84
enron_full_080546,text,8e076c3f03ac5d6adafaf786ebec4b0675921eb9028de2ca121bce5da1efe609
enron_full_081120,text,d1933977941c71e6e9833c630b4e3ac44779c3a06299cbf42310a0d466a513c3
enron_full_084438,text,9d735dab643fac3e831ef010501416dde1f7b0f59b111cdb1fa20d32316308e4
enron_full_088649,text,0c6c211b692551a5f8b818f2fa7f21c778a9f2b3180572f39b4b80c88b1be33a
enron_full_096500,text,d5707f04eabd2b9eadbb65f74bd1b2582506a3e7bdadc64fd58bd3f5e34a0565
enron_full_098576,text,cfeafaef9ceddd457c3e21df02aef7f7e461b77fd4d6e6201b2faffa8ffbc497
enron_full_101177,text,9a8d11e4b9f856b4fba0ce5973f32d3aa28f74de199185afb22ffebf1aea02c3
enron_full_106973,text,b6c372d2fadd2af83becdb8855d18263f60b0d573f6040778d42be51ec314e28
enron_full_109757,text,9c45ac491dc277126770928169f1ff5848e991e36aaa61fd1939d1211f7482ea
enron_full_110469,text,0e91385be6c51466bc0f9c9cd1ba508bc086262c952657bdfd57f77184e3e71b
enron_full_111900,text,f1f3a483e9b48ec270d260dec4e8cfc5c057e14a839d55609ac12c692d9f57de
enron_full_115573,text,fdc27b8c4faac3934e5d11d98de8db65504bb871f3709884594ee2947d2db991
enron_full_123239,text,f1637048b406d8859770d3f2d7a07db0e82a4b221c167d2a68f7cee26e807232
enron_full_127977,text,0157eaefd4a2194d533d293c81c9e8dea642fb4678a951803d47ec5c1a722b71
enron_full_128084,text,a4fdd5952480715dbf9e0eb4c8c4ed26f27c0abdb7c2ef93933b56f05bde3112
enron_full_138704,text,7bcad94ccc59548732328276b18174a659729cb9585c2ee313f904f7f3e246a0
enron_full_144326,text,f83bd6d33f308535628e68edce741e8f72bd5d88a090fcac30b75976ad21c613
enron_full_145285,text,7f9c69f9f83db3cbfdc66234b2eee731fe3693f2bb12a3b2e0c089a519ee1076
enron_full_146406,text,b5209cbf90bbc553a3f8fbcc6388455b4ecd1afd264c118a2815d958bed016bb
enron_full_149634,text,a79225163a914fa8387dc47a942c9012c889ec007c7f9cabc0c8981b8d1905d6
enron_full_151578,text,fe62a4db9e822acb9f12384604defd1d2c0a2b29683b6eaa45e49c8241c52219
enron_full_151693,text,934aebfda528bfc82b8ba106f6213734086eb85cd81d87549fe4f3030df1deac
enron_full_156900,text,87b72dee816941a3458965293c7855ba39eb979054c52f15c9e44cc29169e980
enron_full_165292,text,a3ff96f2c5afcd948f0dcf5f19a01d1834b3688d7ca1c4329a48e18438aee1aa
enron_full_169439,text,2cce5780fce0d13ff42398515374a293ad09b56b295485d6b06c9cd5ec6f8e59
enron_full_175838,text,9737a3314ff184cdcfaab8a2edd3c185c5f394a41b06bd5cc1fa4e469453d3e1
enron_full_177787,text,c591ed2d8ce683f70ff364f5e6b3657d55653a7fdb7ffc29555fcd7d07d03b05
