scheme,threshold,repeat,query_id,group,latency_us,matched,best_distance,records_examined,bits_compared
fuzzydedup,4,0,enron_full_000202,exact_ref,3445.057,1,0,59273,3793664
fuzzydedup,5,0,enron_full_000202,exact_ref,3528.980,1,0,72621,4647936
fuzzydedup,6,0,enron_full_000202,exact_ref,3575.409,1,0,84428,5403584
fuzzydedup,5,0,enron_full_000664,exact_ref,545.141,1,0,5738,367424
fuzzydedup,6,0,enron_full_000664,exact_ref,173.963,1,0,6118,391744
fuzzydedup,4,0,enron_full_000664,exact_ref,167.287,1,0,5179,331648
fuzzydedup,6,0,enron_full_001289,no_exact_ref,2816.202,0,7,75416,4826624
fuzzydedup,4,0,enron_full_001289,no_exact_ref,2441.486,0,5,50202,3212928
fuzzydedup,5,0,enron_full_001289,no_exact_ref,2582.999,0,6,62674,4011136
fuzzydedup,4,0,enron_full_001379,no_exact_ref,5503.584,0,5,128135,8200640
fuzzydedup,5,0,enron_full_001379,no_exact_ref,6222.614,0,6,154598,9894272
fuzzydedup,6,0,enron_full_001379,no_exact_ref,6954.415,0,7,180015,11520960
fuzzydedup,5,0,enron_full_001488,no_exact_ref,5762.240,0,6,147636,9448704
fuzzydedup,6,0,enron_full_001488,no_exact_ref,6840.231,0,7,172289,11026496
fuzzydedup,4,0,enron_full_001488,no_exact_ref,5114.981,0,5,121972,7806208
fuzzydedup,6,0,enron_full_001525,exact_ref,1465.588,1,0,25312,1620160
fuzzydedup,4,0,enron_full_001525,exact_ref,1090.040,1,0,19975,1278592
fuzzydedup,5,0,enron_full_001525,exact_ref,1093.391,1,0,22923,1467264
fuzzydedup,4,0,enron_full_002220,exact_ref,129.736,1,0,1769,113408
fuzzydedup,5,0,enron_full_002220,exact_ref,56.907,1,0,2319,148608
fuzzydedup,6,0,enron_full_002220,exact_ref,82.528,1,0,2918,186944
fuzzydedup,5,0,enron_full_004616,exact_ref,3400.913,1,0,68957,4413440
fuzzydedup,6,0,enron_full_004616,exact_ref,3372.771,1,0,79639,5097088
fuzzydedup,4,0,enron_full_004616,exact_ref,2808.470,1,0,57150,3657792
fuzzydedup,6,0,enron_full_005913,exact_ref,666.267,1,0,10537,674560
fuzzydedup,4,0,enron_full_005913,exact_ref,440.108,1,0,8716,558016
fuzzydedup,5,0,enron_full_005913,exact_ref,446.050,1,0,9831,629376
fuzzydedup,4,0,enron_full_006211,exact_ref,555.732,1,0,12995,831872
fuzzydedup,5,0,enron_full_006211,exact_ref,895.784,1,0,14537,930560
fuzzydedup,6,0,enron_full_006211,exact_ref,766.936,1,0,15652,1001920
fuzzydedup,5,0,enron_full_006276,exact_ref,708.789,1,0,6811,436096
fuzzydedup,6,0,enron_full_006276,exact_ref,764.619,1,0,8764,561088
fuzzydedup,4,0,enron_full_006276,exact_ref,604.178,1,0,5061,324096
fuzzydedup,6,0,enron_full_006379,no_exact_ref,6668.777,0,7,177736,11375104
fuzzydedup,4,0,enron_full_006379,no_exact_ref,5010.116,0,5,127462,8157568
fuzzydedup,5,0,enron_full_006379,no_exact_ref,5630.727,0,6,153267,9809088
fuzzydedup,4,0,enron_full_006771,exact_ref,2255.623,1,0,45515,2913152
