scheme,threshold,repeat,query_id,group,latency_us,matched,best_distance,records_examined,bits_compared
fuzzydedup,4,0,enron_full_009658,verify,1860.833,0,5,35794,2290816
fuzzydedup,5,0,enron_full_009658,verify,1873.720,0,6,44800,2867200
fuzzydedup,6,0,enron_full_009658,verify,2715.391,0,7,54205,3469120
fuzzydedup,5,0,enron_full_010653,verify,4195.740,1,0,80716,5166016
fuzzydedup,6,0,enron_full_010653,verify,4793.512,1,0,96249,6160128
fuzzydedup,4,0,enron_full_010653,verify,3668.788,1,0,64744,4143808
fuzzydedup,6,0,enron_full_011218,verify,2943.967,1,0,58125,3720192
fuzzydedup,4,0,enron_full_011218,verify,1912.980,1,0,35380,2264512
fuzzydedup,5,0,enron_full_011218,verify,2663.911,1,0,46431,2971776
fuzzydedup,4,0,enron_full_025369,verify,1151.757,0,5,25353,1622592
fuzzydedup,5,0,enron_full_025369,verify,1743.828,0,6,32008,2048512
fuzzydedup,6,0,enron_full_025369,verify,1847.542,0,7,38406,2457984
fuzzydedup,5,0,enron_full_027509,verify,919.104,1,0,15444,988608
fuzzydedup,6,0,enron_full_027509,verify,810.450,1,0,16986,1087296
fuzzydedup,4,0,enron_full_027509,verify,802.075,1,0,13629,872448
fuzzydedup,6,0,enron_full_033704,verify,3989.501,0,7,83781,5361984
fuzzydedup,4,0,enron_full_033704,verify,2733.349,0,5,56325,3604800
fuzzydedup,5,0,enron_full_033704,verify,2985.754,0,6,69703,4460992
fuzzydedup,4,0,enron_full_034404,verify,1210.579,0,5,17908,1146112
fuzzydedup,5,0,enron_full_034404,verify,1304.791,0,6,22371,1431744
fuzzydedup,6,0,enron_full_034404,verify,1425.271,0,7,27124,1735936
fuzzydedup,5,0,enron_full_034807,verify,2683.552,0,6,50020,3201280
fuzzydedup,6,0,enron_full_034807,verify,2627.129,0,7,60498,3871872
fuzzydedup,4,0,enron_full_034807,verify,1711.997,0,5,40217,2573888
fuzzydedup,6,0,enron_full_039254,verify,4445.963,0,7,112816,7220224
fuzzydedup,4,0,enron_full_039254,verify,3250.405,0,5,75858,4854912
fuzzydedup,5,0,enron_full_039254,verify,4326.303,0,6,94423,6043072
fuzzydedup,4,0,enron_full_039322,verify,5487.527,0,5,132999,8511936
fuzzydedup,5,0,enron_full_039322,verify,6385.237,0,6,159592,10213888
fuzzydedup,6,0,enron_full_039322,verify,7542.332,0,7,184939,11836096
fuzzydedup,5,0,enron_full_046393,verify,5990.332,0,6,145606,9318784
fuzzydedup,6,0,enron_full_046393,verify,6912.729,0,7,169255,10832320
fuzzydedup,4,0,enron_full_046393,verify,5179.777,0,5,120641,7721024
fuzzydedup,6,0,enron_full_049561,verify,6239.694,0,7,159258,10192512
fuzzydedup,4,0,enron_full_049561,verify,4636.003,0,5,113227,7246528
fuzzydedup,5,0,enron_full_049561,verify,5371.723,0,6,136629,8744256
fuzzydedup,4,0,enron_full_053673,verify,6012.845,0,5,121972,7806208
fuzzydedup,5,0,enron_full_053673,verify,6445.450,0,6,147636,9448704
fuzzydedup,6,0,enron_full_053673,verify,7873.322,0,7,172289,11026496
fuzzydedup,5,0,enron_full_058759,verify,4164.796,1,0,79916,5114816
fuzzydedup,6,0,enron_full_058759,verify,5076.886,1,0,96323,6164864
fuzzydedup,4,0,enron_full_058759,verify,4624.078,1,0,63697,4076800
fuzzydedup,6,0,enron_full_059101,verify,2596.917,1,0,50022,3201600
fuzzydedup,4,0,enron_full_059101,verify,2194.167,1,0,38152,2441920
fuzzydedup,5,0,enron_full_059101,verify,2189.742,1,0,44374,2840128
fuzzydedup,4,0,enron_full_067415,verify,3981.330,1,0,63386,4056896
fuzzydedup,5,0,enron_full_067415,verify,4261.942,1,0,79605,5094912
fuzzydedup,6,0,enron_full_067415,verify,4986.154,1,0,96012,6144960
fuzzydedup,5,0,enron_full_068105,verify,6943.303,0,6,168125,10760000
fuzzydedup,6,0,enron_full_068105,verify,7950.581,0,7,194644,12457216
fuzzydedup,4,0,enron_full_068105,verify,6178.859,0,5,139516,8929024
fuzzydedup,6,0,enron_full_078293,verify,6419.295,0,7,144058,9219712
fuzzydedup,4,0,enron_full_078293,verify,5014.204,0,5,100182,6411648
fuzzydedup,5,0,enron_full_078293,verify,5356.309,0,6,122217,7821888
fuzzydedup,4,0,enron_full_080461,verify,3572.616,1,0,66167,4234880
fuzzydedup,5,0,enron_full_080461,verify,4004.380,1,0,81700,5228992
fuzzydedup,6,0,enron_full_080461,verify,4239.548,1,0,97208,6221504
fuzzydedup,5,0,enron_full_080546,verify,6626.013,0,6,164996,10559744
fuzzydedup,6,0,enron_full_080546,verify,7335.853,0,7,191555,12259520
fuzzydedup,4,0,enron_full_080546,verify,5439.345,0,5,137769,8817216
fuzzydedup,6,0,enron_full_081120,verify,1600.180,1,0,31310,2004032
fuzzydedup,4,0,enron_full_081120,verify,1411.592,1,0,24879,1592448
fuzzydedup,5,0,enron_full_081120,verify,1317.358,1,0,28362,1815360
fuzzydedup,4,0,enron_full_084438,verify,4785.299,0,5,120641,7721024
fuzzydedup,5,0,enron_full_084438,verify,5241.212,0,6,145606,9318784
fuzzydedup,6,0,enron_full_084438,verify,6262.872,0,7,169255,10832320
fuzzydedup,5,0,enron_full_088649,verify,2563.690,1,0,50345,3222272
fuzzydedup,6,0,enron_full_088649,verify,2332.552,1,0,56567,3620480
fuzzydedup,4,0,enron_full_088649,verify,1854.525,1,0,42915,2746752
fuzzydedup,6,0,enron_full_096500,verify,3282.110,1,0,71361,4567296
fuzzydedup,4,0,enron_full_096500,verify,2379.884,1,0,43835,2805632
fuzzydedup,5,0,enron_full_096500,verify,2892.589,1,0,57164,3658688
fuzzydedup,4,0,enron_full_098576,verify,727.559,1,0,7589,485888
fuzzydedup,5,0,enron_full_098576,verify,763.541,1,0,9940,636352
fuzzydedup,6,0,enron_full_098576,verify,1204.866,1,0,12626,808256
fuzzydedup,5,0,enron_full_101177,verify,3758.631,1,0,75688,4844224
fuzzydedup,6,0,enron_full_101177,verify,4470.382,1,0,91599,5862528
