scheme,threshold,repeat,query_id,group,latency_us,matched,best_distance,records_examined,bits_compared
simless,4,0,enron_full_000202,exact_ref,36115.023,1,0,413921,105963776
simless,5,0,enron_full_000202,exact_ref,36115.023,1,0,413921,105963776
simless,6,0,enron_full_000202,exact_ref,36115.023,1,0,413921,105963776
simless,5,0,enron_full_000664,exact_ref,26761.663,1,0,413921,105963776
simless,6,0,enron_full_000664,exact_ref,26761.663,1,0,413921,105963776
simless,4,0,enron_full_000664,exact_ref,26761.663,1,0,413921,105963776
simless,6,0,enron_full_001289,no_exact_ref,27856.170,0,70,413921,105963776
simless,4,0,enron_full_001289,no_exact_ref,27856.170,0,70,413921,105963776
simless,5,0,enron_full_001289,no_exact_ref,27856.170,0,70,413921,105963776
simless,4,0,enron_full_001379,no_exact_ref,28607.640,0,53,413921,105963776
simless,5,0,enron_full_001379,no_exact_ref,28607.640,0,53,413921,105963776
simless,6,0,enron_full_001379,no_exact_ref,28607.640,0,53,413921,105963776
simless,5,0,enron_full_001488,no_exact_ref,28940.518,0,44,413921,105963776
simless,6,0,enron_full_001488,no_exact_ref,28940.518,0,44,413921,105963776
simless,4,0,enron_full_001488,no_exact_ref,28940.518,0,44,413921,105963776
simless,6,0,enron_full_001525,exact_ref,26796.418,1,0,413921,105963776
simless,4,0,enron_full_001525,exact_ref,26796.418,1,0,413921,105963776
simless,5,0,enron_full_001525,exact_ref,26796.418,1,0,413921,105963776
simless,4,0,enron_full_002220,exact_ref,26896.661,1,0,413921,105963776
simless,5,0,enron_full_002220,exact_ref,26896.661,1,0,413921,105963776
simless,6,0,enron_full_002220,exact_ref,26896.661,1,0,413921,105963776
simless,5,0,enron_full_004616,exact_ref,27805.125,1,0,413921,105963776
simless,6,0,enron_full_004616,exact_ref,27805.125,1,0,413921,105963776
simless,4,0,enron_full_004616,exact_ref,27805.125,1,0,413921,105963776
simless,6,0,enron_full_005913,exact_ref,26933.486,1,0,413921,105963776
simless,4,0,enron_full_005913,exact_ref,26933.486,1,0,413921,105963776
simless,5,0,enron_full_005913,exact_ref,26933.486,1,0,413921,105963776
simless,4,0,enron_full_006211,exact_ref,27660.655,1,0,413921,105963776
simless,5,0,enron_full_006211,exact_ref,27660.655,1,0,413921,105963776
simless,6,0,enron_full_006211,exact_ref,27660.655,1,0,413921,105963776
simless,5,0,enron_full_006276,exact_ref,28811.083,1,0,413921,105963776
simless,6,0,enron_full_006276,exact_ref,28811.083,1,0,413921,105963776
simless,4,0,enron_full_006276,exact_ref,28811.083,1,0,413921,105963776
simless,6,0,enron_full_006379,no_exact_ref,27102.776,0,93,413921,105963776
simless,4,0,enron_full_006379,no_exact_ref,27102.776,0,93,413921,105963776
simless,5,0,enron_full_006379,no_exact_ref,27102.776,0,93,413921,105963776
simless,4,0,enron_full_006771,exact_ref,29165.768,1,0,413921,105963776
simless,5,0,enron_full_006771,exact_ref,29165.768,1,0,413921,105963776
simless,6,0,enron_full_006771,exact_ref,29165.768,1,0,413921,105963776
simless,5,0,enron_full_007411,no_exact_ref,30571.586,0,92,413921,105963776
simless,6,0,enron_full_007411,no_exact_ref,30571.586,0,92,413921,105963776
simless,4,0,enron_full_007411,no_exact_ref,30571.586,0,92,413921,105963776
simless,6,0,enron_full_008064,exact_ref,28531.967,1,0,413921,105963776
simless,4,0,enron_full_008064,exact_ref,28531.967,1,0,413921,105963776
simless,5,0,enron_full_008064,exact_ref,28531.967,1,0,413921,105963776
simless,4,0,enron_full_008136,no_exact_ref,28142.909,0,16,413921,105963776
simless,5,0,enron_full_008136,no_exact_ref,28142.909,0,16,413921,105963776
simless,6,0,enron_full_008136,no_exact_ref,28142.909,0,16,413921,105963776
simless,5,0,enron_full_008648,exact_ref,25918.171,1,0,413921,105963776
simless,6,0,enron_full_008648,exact_ref,25918.171,1,0,413921,105963776
simless,4,0,enron_full_008648,exact_ref,25918.171,1,0,413921,105963776
simless,6,0,enron_full_008924,exact_ref,27508.826,1,0,413921,105963776
simless,4,0,enron_full_008924,exact_ref,27508.826,1,0,413921,105963776
simless,5,0,enron_full_008924,exact_ref,27508.826,1,0,413921,105963776
simless,4,0,enron_full_009142,exact_ref,27608.587,1,0,413921,105963776
simless,5,0,enron_full_009142,exact_ref,27608.587,1,0,413921,105963776
simless,6,0,enron_full_009142,exact_ref,27608.587,1,0,413921,105963776
simless,5,0,enron_full_009200,exact_ref,27546.175,1,0,413921,105963776
simless,6,0,enron_full_009200,exact_ref,27546.175,1,0,413921,105963776
simless,4,0,enron_full_009200,exact_ref,27546.175,1,0,413921,105963776
simless,6,0,enron_full_009568,no_exact_ref,29025.427,0,91,413921,105963776
simless,4,0,enron_full_009568,no_exact_ref,29025.427,0,91,413921,105963776
simless,5,0,enron_full_009568,no_exact_ref,29025.427,0,91,413921,105963776
simless,4,0,enron_full_009735,no_exact_ref,26768.934,0,94,413921,105963776
simless,5,0,enron_full_009735,no_exact_ref,26768.934,0,94,413921,105963776
simless,6,0,enron_full_009735,no_exact_ref,26768.934,0,94,413921,105963776
simless,5,0,enron_full_011924,exact_ref,27177.180,1,0,413921,105963776
simless,6,0,enron_full_011924,exact_ref,27177.180,1,0,413921,105963776
simless,4,0,enron_full_011924,exact_ref,27177.180,1,0,413921,105963776
simless,6,0,enron_full_012156,exact_ref,27204.893,1,0,413921,105963776
simless,4,0,enron_full_012156,exact_ref,27204.893,1,0,413921,105963776
simless,5,0,enron_full_012156,exact_ref,27204.893,1,0,413921,105963776
simless,4,0,enron_full_012651,exact_ref,27944.102,1,0,413921,105963776
simless,5,0,enron_full_012651,exact_ref,27944.102,1,0,413921,105963776
simless,6,0,enron_full_012651,exact_ref,27944.102,1,0,413921,105963776
simless,5,0,enron_full_013576,exact_ref,29325.880,1,0,413921,105963776
simless,6,0,enron_full_013576,exact_ref,29325.880,1,0,413921,105963776
simless,4,0,enron_full_013576,exact_ref,29325.880,1,0,413921,105963776
simless,6,0,enron_full_013941,exact_ref,28707.521,1,0,413921,105963776
simless,4,0,enron_full_013941,exact_ref,28707.521,1,0,413921,105963776
simless,5,0,enron_full_013941,exact_ref,28707.521,1,0,413921,105963776
simless,4,0,enron_full_014539,exact_ref,27220.451,1,0,413921,105963776
simless,5,0,enron_full_014539,exact_ref,27220.451,1,0,413921,105963776
simless,6,0,enron_full_014539,exact_ref,27220.451,1,0,413921,105963776
simless,5,0,enron_full_014678,exact_ref,44926.199,1,0,413921,105963776
simless,6,0,enron_full_014678,exact_ref,44926.199,1,0,413921,105963776
simless,4,0,enron_full_014678,exact_ref,44926.199,1,0,413921,105963776
simless,6,0,enron_full_015568,exact_ref,29257.721,1,0,413921,105963776
simless,4,0,enron_full_015568,exact_ref,29257.721,1,0,413921,105963776
simless,5,0,enron_full_015568,exact_ref,29257.721,1,0,413921,105963776
simless,4,0,enron_full_015698,exact_ref,29330.562,1,0,413921,105963776
simless,5,0,enron_full_015698,exact_ref,29330.562,1,0,413921,105963776
simless,6,0,enron_full_015698,exact_ref,29330.562,1,0,413921,105963776
simless,5,0,enron_full_016017,exact_ref,29098.005,1,0,413921,105963776
simless,6,0,enron_full_016017,exact_ref,29098.005,1,0,413921,105963776
