scheme,threshold,repeat,query_id,group,latency_us,matched,best_distance,records_examined,bits_compared
simless,4,0,enron_full_009658,verify,26684.459,0,50,413921,105963776
simless,5,0,enron_full_009658,verify,26684.459,0,50,413921,105963776
simless,6,0,enron_full_009658,verify,26684.459,0,50,413921,105963776
simless,5,0,enron_full_010653,verify,27956.858,1,0,413921,105963776
simless,6,0,enron_full_010653,verify,27956.858,1,0,413921,105963776
simless,4,0,enron_full_010653,verify,27956.858,1,0,413921,105963776
simless,6,0,enron_full_011218,verify,27228.600,1,0,413921,105963776
simless,4,0,enron_full_011218,verify,27228.600,1,0,413921,105963776
simless,5,0,enron_full_011218,verify,27228.600,1,0,413921,105963776
simless,4,0,enron_full_025369,verify,27430.957,0,86,413921,105963776
simless,5,0,enron_full_025369,verify,27430.957,0,86,413921,105963776
simless,6,0,enron_full_025369,verify,27430.957,0,86,413921,105963776
simless,5,0,enron_full_027509,verify,27619.804,1,0,413921,105963776
simless,6,0,enron_full_027509,verify,27619.804,1,0,413921,105963776
simless,4,0,enron_full_027509,verify,27619.804,1,0,413921,105963776
simless,6,0,enron_full_033704,verify,26925.769,0,40,413921,105963776
simless,4,0,enron_full_033704,verify,26925.769,0,40,413921,105963776
simless,5,0,enron_full_033704,verify,26925.769,0,40,413921,105963776
simless,4,0,enron_full_034404,verify,27796.641,0,88,413921,105963776
simless,5,0,enron_full_034404,verify,27796.641,0,88,413921,105963776
simless,6,0,enron_full_034404,verify,27796.641,0,88,413921,105963776
simless,5,0,enron_full_034807,verify,28971.693,0,25,413921,105963776
simless,6,0,enron_full_034807,verify,28971.693,0,25,413921,105963776
simless,4,0,enron_full_034807,verify,28971.693,0,25,413921,105963776
simless,6,0,enron_full_039254,verify,28894.522,0,63,413921,105963776
simless,4,0,enron_full_039254,verify,28894.522,0,63,413921,105963776
simless,5,0,enron_full_039254,verify,28894.522,0,63,413921,105963776
simless,4,0,enron_full_039322,verify,27501.781,0,61,413921,105963776
simless,5,0,enron_full_039322,verify,27501.781,0,61,413921,105963776
simless,6,0,enron_full_039322,verify,27501.781,0,61,413921,105963776
simless,5,0,enron_full_046393,verify,27270.337,0,91,413921,105963776
simless,6,0,enron_full_046393,verify,27270.337,0,91,413921,105963776
simless,4,0,enron_full_046393,verify,27270.337,0,91,413921,105963776
simless,6,0,enron_full_049561,verify,27291.278,0,93,413921,105963776
simless,4,0,enron_full_049561,verify,27291.278,0,93,413921,105963776
simless,5,0,enron_full_049561,verify,27291.278,0,93,413921,105963776
simless,4,0,enron_full_053673,verify,26997.332,0,24,413921,105963776
simless,5,0,enron_full_053673,verify,26997.332,0,24,413921,105963776
simless,6,0,enron_full_053673,verify,26997.332,0,24,413921,105963776
simless,5,0,enron_full_058759,verify,27229.815,1,0,413921,105963776
simless,6,0,enron_full_058759,verify,27229.815,1,0,413921,105963776
simless,4,0,enron_full_058759,verify,27229.815,1,0,413921,105963776
simless,6,0,enron_full_059101,verify,27276.887,1,0,413921,105963776
simless,4,0,enron_full_059101,verify,27276.887,1,0,413921,105963776
simless,5,0,enron_full_059101,verify,27276.887,1,0,413921,105963776
simless,4,0,enron_full_067415,verify,26955.628,1,0,413921,105963776
simless,5,0,enron_full_067415,verify,26955.628,1,0,413921,105963776
simless,6,0,enron_full_067415,verify,26955.628,1,0,413921,105963776
simless,5,0,enron_full_068105,verify,28703.621,0,76,413921,105963776
simless,6,0,enron_full_068105,verify,28703.621,0,76,413921,105963776
simless,4,0,enron_full_068105,verify,28703.621,0,76,413921,105963776
simless,6,0,enron_full_078293,verify,29037.342,0,91,413921,105963776
simless,4,0,enron_full_078293,verify,29037.342,0,91,413921,105963776
simless,5,0,enron_full_078293,verify,29037.342,0,91,413921,105963776
simless,4,0,enron_full_080461,verify,28780.357,1,0,413921,105963776
simless,5,0,enron_full_080461,verify,28780.357,1,0,413921,105963776
simless,6,0,enron_full_080461,verify,28780.357,1,0,413921,105963776
simless,5,0,enron_full_080546,verify,28917.707,0,92,413921,105963776
simless,6,0,enron_full_080546,verify,28917.707,0,92,413921,105963776
simless,4,0,enron_full_080546,verify,28917.707,0,92,413921,105963776
simless,6,0,enron_full_081120,verify,29067.005,1,0,413921,105963776
simless,4,0,enron_full_081120,verify,29067.005,1,0,413921,105963776
simless,5,0,enron_full_081120,verify,29067.005,1,0,413921,105963776
simless,4,0,enron_full_084438,verify,29096.880,0,91,413921,105963776
simless,5,0,enron_full_084438,verify,29096.880,0,91,413921,105963776
simless,6,0,enron_full_084438,verify,29096.880,0,91,413921,105963776
simless,5,0,enron_full_088649,verify,28637.756,1,0,413921,105963776
simless,6,0,enron_full_088649,verify,28637.756,1,0,413921,105963776
simless,4,0,enron_full_088649,verify,28637.756,1,0,413921,105963776
simless,6,0,enron_full_096500,verify,27599.063,1,0,413921,105963776
simless,4,0,enron_full_096500,verify,27599.063,1,0,413921,105963776
simless,5,0,enron_full_096500,verify,27599.063,1,0,413921,105963776
simless,4,0,enron_full_098576,verify,27200.738,1,0,413921,105963776
simless,5,0,enron_full_098576,verify,27200.738,1,0,413921,105963776
simless,6,0,enron_full_098576,verify,27200.738,1,0,413921,105963776
simless,5,0,enron_full_101177,verify,27328.470,1,0,413921,105963776
simless,6,0,enron_full_101177,verify,27328.470,1,0,413921,105963776
simless,4,0,enron_full_101177,verify,27328.470,1,0,413921,105963776
simless,6,0,enron_full_106973,verify,27664.641,1,0,413921,105963776
simless,4,0,enron_full_106973,verify,27664.641,1,0,413921,105963776
simless,5,0,enron_full_106973,verify,27664.641,1,0,413921,105963776
simless,4,0,enron_full_109757,verify,27112.137,0,92,413921,105963776
simless,5,0,enron_full_109757,verify,27112.137,0,92,413921,105963776
simless,6,0,enron_full_109757,verify,27112.137,0,92,413921,105963776
simless,5,0,enron_full_110469,verify,28379.174,1,0,413921,105963776
simless,6,0,enron_full_110469,verify,28379.174,1,0,413921,105963776
simless,4,0,enron_full_110469,verify,28379.174,1,0,413921,105963776
simless,6,0,enron_full_111900,verify,29112.880,0,79,413921,105963776
simless,4,0,enron_full_111900,verify,29112.880,0,79,413921,105963776
simless,5,0,enron_full_111900,verify,29112.880,0,79,413921,105963776
simless,4,0,enron_full_115573,verify,29132.940,1,0,413921,105963776
simless,5,0,enron_full_115573,verify,29132.940,1,0,413921,105963776
simless,6,0,enron_full_115573,verify,29132.940,1,0,413921,105963776
simless,5,0,enron_full_123239,verify,28228.528,1,0,413921,105963776
simless,6,0,enron_full_123239,verify,28228.528,1,0,413921,105963776
simless,4,0,enron_full_123239,verify,28228.528,1,0,413921,105963776
simless,6,0,enron_full_127977,verify,28594.467,0,34,413921,105963776
simless,4,0,enron_full_127977,verify,28594.467,0,34,413921,105963776
